qdate,hl_ssm,tenor_bucket
2012-02-02,15.30164605043154,2
2012-02-03,14.101685258962714,2
2012-02-06,13.679138542218386,2
2012-02-07,12.002327331687736,2
2012-02-08,10.47916030377451,2
2012-02-09,8.614963845798998,2
2012-02-10,8.934405650374613,2
2012-02-13,9.690388530197973,2
2012-02-14,9.519675207770797,2
2012-02-15,9.37230964038677,2
2012-02-16,12.73688165436946,2
2012-02-17,13.337249762298164,2
2012-02-21,14.70451269069685,2
2012-02-22,15.110662029364557,2
2012-02-23,17.998304175320946,2
2012-02-24,20.1276220052182,2
2012-02-27,22.675456200007716,2
2012-02-28,20.56096132427059,2
2012-02-29,20.419167648114904,2
2012-03-01,19.608915157822995,2
2012-03-02,18.913033430180725,2
2012-03-05,19.66434570247014,2
2012-03-06,19.720291037190172,2
2012-03-07,24.207139346317426,2
2012-03-08,25.38654054874684,2
2012-03-09,22.99478012713723,2
2012-03-12,25.66520601626937,2
2012-03-13,25.40305217382094,2
2012-03-14,24.004966006965592,2
2012-03-15,22.07047365042148,2
2012-03-16,25.21337099421529,2
2012-03-19,26.682127502358124,2
2012-03-20,25.57364704604345,2
2012-03-21,24.159570498960377,2
2012-03-22,24.569288108265372,2
2012-03-23,23.800234774864403,2
2012-03-26,21.769115264353353,2
2012-03-27,20.513693318410276,2
2012-03-28,18.672619665009062,2
2012-03-29,18.792943071014413,2
2012-03-30,18.17221391166714,2
2012-04-02,18.640078166866772,2
2012-04-03,24.136733897950684,2
2012-04-04,24.16145953531008,2
2012-04-05,24.012211190264708,2
2012-04-06,22.471705297792763,2
2012-04-09,18.833917850704754,2
2012-04-10,15.597108808033802,2
2012-04-11,14.941050430545626,2
2012-04-12,15.762648029057512,2
2012-04-13,16.708392177913474,2
2012-04-16,16.86163116259362,2
2012-04-17,15.799790823328578,2
2012-04-18,18.038574451731805,2
2012-04-19,20.400546387964926,2
2012-04-20,20.412411154798004,2
2012-04-23,20.982874352713402,2
2012-04-24,23.563295061497232,2
2012-04-25,22.618065186662147,2
2012-04-26,22.236522785393376,2
2012-04-27,24.47838873205977,2
2012-04-30,23.86535310124679,2
2012-05-01,22.76844544446792,2
2012-05-02,21.079402011546495,2
2012-05-03,19.46949049499821,2
2012-05-04,20.241193586518783,2
2012-05-07,21.173980079179337,2
2012-05-08,20.54063796068866,2
2012-05-09,20.919679367202484,2
2012-05-10,20.760275259826614,2
2012-05-11,21.71008395657761,2
2012-05-14,22.49759605330329,2
2012-05-15,23.445103215135962,2
2012-05-16,23.033558493547076,2
2012-05-17,23.003226563699553,2
2012-05-18,22.779568650301712,2
2012-05-21,23.183966138409264,2
2012-05-22,23.423831174997318,2
2012-05-23,23.88326272838413,2
2012-05-24,23.599968423151548,2
2012-05-25,23.995686358653558,2
2012-05-29,24.65653751148152,2
2012-05-30,21.594288216493528,2
2012-05-31,20.93745333822133,2
2012-06-01,20.933458251558704,2
2012-06-04,23.344980272610538,2
2012-06-05,27.123206025659258,2
2012-06-06,22.965669952529083,2
2012-06-07,18.804587077159695,2
2012-06-08,13.118152149942494,2
2012-06-11,12.760214148077274,2
2012-06-12,13.602479115240133,2
2012-06-13,19.543549691512936,2
2012-06-14,21.92386450822013,2
2012-06-15,21.53360802073184,2
2012-06-18,19.459721391546324,2
2012-06-19,17.765202901457545,2
2012-06-20,17.240160854807947,2
2012-06-21,16.363797478038705,2
2012-06-22,14.898045160205108,2
2012-06-25,13.300903017257506,2
2012-06-26,13.406421313837319,2
2012-06-27,13.195679504555285,2
2012-06-28,14.236639966237966,2
2012-06-29,15.437134359938604,2
2012-07-02,16.689463814232848,2
2012-07-03,17.204008977979292,2
2012-07-05,16.909812641119544,2
2012-07-06,17.136683807323784,2
2012-07-09,16.31705748571977,2
2012-07-10,16.39843061975503,2
2012-07-11,15.62965562692037,2
2012-07-12,14.419040851120732,2
2012-07-13,13.909389373517675,2
2012-07-16,14.911913234950212,2
2012-07-17,15.170480147876335,2
2012-07-18,14.303521941757836,2
2012-07-19,14.878437646541741,2
2012-07-20,15.679747224087656,2
2012-07-23,14.70974621909265,2
2012-07-24,16.15782767337972,2
2012-07-25,17.283029999700243,2
2012-07-26,17.552938756638813,2
2012-07-27,19.38729095347743,2
2012-07-30,19.06887989792539,2
2012-07-31,17.68932499874197,2
2012-08-01,18.2433595982772,2
2012-08-02,17.671188385279564,2
2012-08-03,17.56796004320802,2
2012-08-06,17.458363099346197,2
2012-08-07,18.038018149416107,2
2012-08-08,17.790058847101403,2
2012-08-09,18.35898790727225,2
2012-08-10,17.929328211614315,2
2012-08-13,18.47981359426575,2
2012-08-14,19.194178963733076,2
2012-08-15,19.911716279461693,2
2012-08-16,20.716419434126777,2
2012-08-17,20.176427076662833,2
2012-08-20,18.518058222182784,2
2012-08-21,17.72637827709694,2
2012-08-22,14.102295881253879,2
2012-08-23,14.486219193943889,2
2012-08-24,14.38743549014342,2
2012-08-27,14.855304909937917,2
2012-08-28,14.975671232094028,2
2012-08-29,13.64568564952728,2
2012-08-30,13.194933387595801,2
2012-08-31,12.259629300047589,2
2012-09-04,11.534747969687471,2
2012-09-05,12.392062300051963,2
2012-09-06,11.527463053275266,2
2012-09-07,10.279844310171843,2
2012-09-10,10.431873806033412,2
2012-09-11,11.05953809099646,2
2012-09-12,10.011320124884994,2
2012-09-13,8.93858516832714,2
2012-09-14,8.724926711497547,2
